"","X.1","X","ID","NameOfPDF","Author","DOI","CodingFinished","Screener","Extracter","DataExtracted","Extraction.Suitable","ExtractionComments","Sampled_Soil_Available_notpH","FullyFactorial","SpatialExtent.km2.","Country","Season.s.","ExperimentObservation","Method","LandUse","LandIntensification","HabitatLossFragmentation","Climate","Pollution","InvasiveSpp","NutrientEnrichment","PollutionSource","OtherBiodiversity","EcosystemFunction","Case_ID","CaseDescription","Latitude","Longitude","SamplingDuration_months","SoilPH","PollutionType","PollutantClass","PollutionName","SecondaryPollution","TreatmentDescription","Control_absValue","Control_absValueUnit","Treatment_absValue","Treatment_absValueUnit","TaxaGroup","TaxaBodysize","Control_mean","Control_SD","Control_N","Treatment_mean","Treatment_SD","Treatment_N","Measurement","MeasurementUnits","Error","Data_Source","System","ColdDrySystems","WetlandSystems","AgricultureType","Tillage","WoodyType","WoodyUse","Grassland","Agroforestry","ArtificialSystem","SystemComments","SamplingMethod","GeneralComments","TaxonomicResolutionRichness","TaxaGroupings","LongTerm","RecommendedDose","PollutantClass1","PesticideType","Neonicotinoid","SeedCoating","MultiSubstanceWithInsecticide","PollutionNameCorrected","Comments","TaxaGroupGSBA","BodySizeCat","BiodivMetric","RecommendedRate","LongTerm2","RepeatedApplication","TemporalExtent","ES","VarES","Control_SD_approx","Treatment_SD_approx","ES2","VarES2"
"11",11,53,147,"Moldenke_1996_Canadian Journal of Forest Research-Revue Canadienne De Recherche Forestiere","Moldenke","10.1139/x26-013",TRUE,"Kate","Lea","Yes","yes-all drivers",NA,FALSE,FALSE,"100m-1km","USA","Spring and Summer","Experimental","soil core",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"Agricultural/livestock","no","none","147_6","macroarthropods","47d14mN","123d25mW",4,NA,"Pesticides","Pesticide (broad spectrum)","chloropicrin","No","chloropicrin application to stumps infected, single application",0,"ml/kg treated stump","3.3","ml/kg treated stump","macroarthropods","Macrofauna",71.56666667,30.96406519,240,56.8,26.09897827,240,"Abundance","ind/ 25 cm2","SD","T4","Woody",NA,NA,NA,NA,"Coniferous","Plantation",NA,NA,NA,NA,NA,NA,NA,"yes but fine","several months","at recommended dose","Biocide","BroadSpectrum","no","no","no","chloropicrin",NA,"Macro-arthropods","Macrofauna","Abundance","at recommended rate","a few months (1 < x =< 3)","single","days/weeks",-0.514875750299207,0.00860947608150643,30.96406519,26.09897827,-0.514875750299207,0.00860947608150643
"12",12,54,147,"Moldenke_1996_Canadian Journal of Forest Research-Revue Canadienne De Recherche Forestiere","Moldenke","10.1139/x26-013",TRUE,"Kate","Lea","Yes","yes-all drivers",NA,FALSE,FALSE,"100m-1km","USA","Spring and Summer","Experimental","soil core",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"Agricultural/livestock","no","none","147_8","springtails, biomass","47d14mN","123d25mW",4,NA,"Pesticides","Pesticide (broad spectrum)","chloropicrin","No","chloropicrin application to stumps infected, single application",0,"ml/kg treated stump","3.3","ml/kg treated stump","springtails","Micro-arthropods",558,249,240,606,493,240,"Biomass","µg/25 cm2","SD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes but fine","several months","at recommended dose","Biocide","BroadSpectrum","no","no","no","chloropicrin",NA,"Collembola","Mesofauna","Biomass","at recommended rate","a few months (1 < x =< 3)","single","days/weeks",0.122712370100179,0.00834901908934959,249,493,0.122712370100179,0.00834901908934959
"13",13,55,147,"Moldenke_1996_Canadian Journal of Forest Research-Revue Canadienne De Recherche Forestiere","Moldenke","10.1139/x26-013",TRUE,"Kate","Lea","Yes","yes-all drivers",NA,FALSE,FALSE,"100m-1km","USA","Spring and Summer","Experimental","soil core",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"Agricultural/livestock","no","none","147_9","oribatids, biomass","47d14mN","123d25mW",4,NA,"Pesticides","Pesticide (broad spectrum)","chloropicrin","No","chloropicrin application to stumps infected, single application",0,"ml/kg treated stump","3.3","ml/kg treated stump","Oribatida","Micro-arthropods",2281,521,240,2533,321,240,"Biomass","µg/25 cm2","SD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes but fine","several months","at recommended dose","Biocide","BroadSpectrum","no","no","no","chloropicrin",NA,"Acari","Mesofauna","Biomass","at recommended rate","a few months (1 < x =< 3)","single","days/weeks",0.58145711423122,0.00868551289134385,521,321,0.58145711423122,0.00868551289134385
"14",14,56,147,"Moldenke_1996_Canadian Journal of Forest Research-Revue Canadienne De Recherche Forestiere","Moldenke","10.1139/x26-013",TRUE,"Kate","Lea","Yes","yes-all drivers",NA,FALSE,FALSE,"100m-1km","USA","Spring and Summer","Experimental","soil core",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"Agricultural/livestock","no","none","147_10","mesostigmatid, biomass","47d14mN","123d25mW",4,NA,"Pesticides","Pesticide (broad spectrum)","chloropicrin","No","chloropicrin application to stumps infected, single application",0,"ml/kg treated stump","3.3","ml/kg treated stump","Mesostigmata","Micro-arthropods",2814,1943,240,1909,1276,240,"Biomass","µg/25 cm2","SD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes but fine","several months","at recommended dose","Biocide","BroadSpectrum","no","no","no","chloropicrin",NA,"Acari","Mesofauna","Biomass","at recommended rate","a few months (1 < x =< 3)","single","days/weeks",-0.549726454286596,0.00864812414014845,1943,1276,-0.549726454286596,0.00864812414014845
"15",15,57,147,"Moldenke_1996_Canadian Journal of Forest Research-Revue Canadienne De Recherche Forestiere","Moldenke","10.1139/x26-013",TRUE,"Kate","Lea","Yes","yes-all drivers",NA,FALSE,FALSE,"100m-1km","USA","Spring and Summer","Experimental","soil core",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"Agricultural/livestock","no","none","147_7","microbivorous oligochaetes, biomass","47d14mN","123d25mW",4,NA,"Pesticides","Pesticide (broad spectrum)","chloropicrin","No","chloropicrin application to stumps infected, single application",0,"ml/kg treated stump","3.3","ml/kg treated stump","microbivorous oligochaetes",NA,44700,58115,240,54120,79221,240,"Biomass","µg/25 cm2","SD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes but fine","several months","at recommended dose","Biocide","BroadSpectrum","no","no","no","chloropicrin",NA,"Oligochaetes",NA,"Biomass","at recommended rate","a few months (1 < x =< 3)","single","days/weeks",0.135377089037944,0.00835242391274624,58115,79221,0.135377089037944,0.00835242391274624
"16",16,58,147,"Moldenke_1996_Canadian Journal of Forest Research-Revue Canadienne De Recherche Forestiere","Moldenke","10.1139/x26-013",TRUE,"Kate","Lea","Yes","yes-all drivers",NA,FALSE,FALSE,"100m-1km","USA","Spring and Summer","Experimental","soil core",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"Agricultural/livestock","no","none","147_12","macroarthropods, biomass","47d14mN","123d25mW",4,NA,"Pesticides","Pesticide (broad spectrum)","chloropicrin","No","chloropicrin application to stumps infected, single application",0,"ml/kg treated stump","3.3","ml/kg treated stump","macroarthropods","Macrofauna",1884.333333,1170.283584,240,1682.666667,811.2266432,240,"Biomass","µg/25 cm2","SD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes but fine","several months","at recommended dose","Biocide","BroadSpectrum","no","no","no","chloropicrin",NA,"Macro-arthropods","Macrofauna","Biomass","at recommended rate","a few months (1 < x =< 3)","single","days/weeks",-0.199972370189493,0.00837498848837417,1170.283584,811.2266432,-0.199972370189493,0.00837498848837417
"17",17,59,147,"Moldenke_1996_Canadian Journal of Forest Research-Revue Canadienne De Recherche Forestiere","Moldenke","10.1139/x26-013",TRUE,"Kate","Lea","Yes","yes-all drivers",NA,FALSE,FALSE,"100m-1km","USA","Spring and Summer","Experimental","soil core",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"Agricultural/livestock","no","none","147_4","mesostigmatid","47d14mN","123d25mW",4,NA,"Pesticides","Pesticide (broad spectrum)","chloropicrin","No","chloropicrin application to stumps infected, single application",0,"ml/kg treated stump","3.3","ml/kg treated stump","Mesostigmata","Micro-arthropods",28.6,8.4,240,18.9,5.3,240,"Abundance","ind/ 25 cm2","SD","T4","Woody",NA,NA,NA,NA,"Coniferous","Plantation",NA,NA,NA,NA,NA,NA,NA,"yes but fine","several months","at recommended dose","Biocide","BroadSpectrum","no","no","no","chloropicrin",NA,"Acari","Mesofauna","Abundance","at recommended rate","a few months (1 < x =< 3)","single","days/weeks",-1.3789731529399,0.0103141322463844,8.4,5.3,-1.3789731529399,0.0103141322463844
"18",18,60,147,"Moldenke_1996_Canadian Journal of Forest Research-Revue Canadienne De Recherche Forestiere","Moldenke","10.1139/x26-013",TRUE,"Kate","Lea","Yes","yes-all drivers",NA,FALSE,FALSE,"100m-1km","USA","Spring and Summer","Experimental","soil core",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"Agricultural/livestock","no","none","147_1","microbivorous oligochaetes","47d14mN","123d25mW",4,NA,"Pesticides","Pesticide (broad spectrum)","chloropicrin","No","chloropicrin application to stumps infected, single application",0,"ml/kg treated stump","3.3","ml/kg treated stump","microbivorous oligochaetes",NA,7.1,6.1,240,9.6,9.3,240,"Abundance","ind/ 25 cm2","SD","T4","Woody",NA,NA,NA,NA,"Coniferous","Plantation",NA,NA,NA,NA,NA,NA,NA,"yes but fine","several months","at recommended dose","Biocide","BroadSpectrum","no","no","no","chloropicrin",NA,"Oligochaetes",NA,"Abundance","at recommended rate","a few months (1 < x =< 3)","single","days/weeks",0.3173860105581,0.00843826445801873,6.1,9.3,0.3173860105581,0.00843826445801873
"19",19,61,147,"Moldenke_1996_Canadian Journal of Forest Research-Revue Canadienne De Recherche Forestiere","Moldenke","10.1139/x26-013",TRUE,"Kate","Lea","Yes","yes-all drivers",NA,FALSE,FALSE,"100m-1km","USA","Spring and Summer","Experimental","soil core",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"Agricultural/livestock","no","none","147_11","endeostigmatid, biomass","47d14mN","123d25mW",4,NA,"Pesticides","Pesticide (broad spectrum)","chloropicrin","No","chloropicrin application to stumps infected, single application",0,"ml/kg treated stump","3.3","ml/kg treated stump","Endeostigmata","Micro-arthropods",823,1465,240,691,1220,240,"Biomass","µg/25 cm2","SD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes but fine","several months","at recommended dose","Biocide","BroadSpectrum","no","no","no","chloropicrin",NA,"Acari","Mesofauna","Biomass","at recommended rate","a few months (1 < x =< 3)","single","days/weeks",-0.0977635015347824,0.00834328927315869,1465,1220,-0.0977635015347824,0.00834328927315869
"20",20,62,147,"Moldenke_1996_Canadian Journal of Forest Research-Revue Canadienne De Recherche Forestiere","Moldenke","10.1139/x26-013",TRUE,"Kate","Lea","Yes","yes-all drivers",NA,FALSE,FALSE,"100m-1km","USA","Spring and Summer","Experimental","soil core",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"Agricultural/livestock","no","none","147_3","oribatids","47d14mN","123d25mW",4,NA,"Pesticides","Pesticide (broad spectrum)","chloropicrin","No","chloropicrin application to stumps infected, single application",0,"ml/kg treated stump","3.3","ml/kg treated stump","Oribatida","Micro-arthropods",141,48,240,111.2,39.3,240,"Abundance","ind/ 25 cm2","SD","T4","Woody",NA,NA,NA,NA,"Coniferous","Plantation",NA,NA,NA,NA,NA,NA,NA,"yes but fine","several months","at recommended dose","Biocide","BroadSpectrum","no","no","no","chloropicrin",NA,"Acari","Mesofauna","Abundance","at recommended rate","a few months (1 < x =< 3)","single","days/weeks",-0.678271711485456,0.0088125547027098,48,39.3,-0.678271711485456,0.0088125547027098
"21",21,63,147,"Moldenke_1996_Canadian Journal of Forest Research-Revue Canadienne De Recherche Forestiere","Moldenke","10.1139/x26-013",TRUE,"Kate","Lea","Yes","yes-all drivers",NA,FALSE,FALSE,"100m-1km","USA","Spring and Summer","Experimental","soil core",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"Agricultural/livestock","no","none","147_2","springtails","47d14mN","123d25mW",4,NA,"Pesticides","Pesticide (broad spectrum)","chloropicrin","No","chloropicrin application to stumps infected, single application",0,"ml/kg treated stump","3.3","ml/kg treated stump","springtails","Micro-arthropods",45.1,22.4,240,40.3,21.7,240,"Abundance","ind/ 25 cm2","SD","T4","Woody",NA,NA,NA,NA,"Coniferous","Plantation",NA,NA,NA,NA,NA,NA,NA,"yes but fine","several months","at recommended dose","Biocide","BroadSpectrum","no","no","no","chloropicrin",NA,"Collembola","Mesofauna","Abundance","at recommended rate","a few months (1 < x =< 3)","single","days/weeks",-0.217317931870672,0.00838252821199223,22.4,21.7,-0.217317931870672,0.00838252821199223
"22",22,66,162,"Minor_2004_Applied Soil Ecology","Minor","10.1016/j.apsoil.2003.10.002",TRUE,"Lea","Lea","Yes","yes-all drivers",NA,TRUE,TRUE,"100m-1km","USA","Cold and Warm","Experimental","soil core",FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,"Agricultural/livestock","no","none","l","pesticides, oribatida richnes","48d52m42sN","76d06m45sW",1,"7.5;7.6","Pesticides","herbicide","Glyphosate, Oxyfluorofen","Yes","glyphosate spot sprayed each year",0,"kg/ha","2.25","kg/ha","Acari,Oribatida","Micro-arthropods",4.02877697841731,2.2362780876783,12,2.34712230215827,1.75505368906397,12,"SpeciesRichness","richness","CI95","F3","Woody",NA,NA,NA,NA,"Deciduous","Plantation",NA,NA,NA,"willow biomass plantation",NA,NA,"species","no","4 years","probably at recommended rate","Herbicide","MultiSubstance","no","no","no","glyphosate; oxyfluorofen",NA,"Acari","Mesofauna","Richness","at recommended rate","several years (1 < x =< 5 )","multiple","years",-0.807690978418055,0.180257598262873,2.2362780876783,1.75505368906397,-0.807690978418055,0.180257598262873
"23",23,67,162,"Minor_2004_Applied Soil Ecology","Minor","10.1016/j.apsoil.2003.10.002",TRUE,"Lea","Lea","Yes","yes-all drivers",NA,TRUE,TRUE,"100m-1km","USA","Cold and Warm","Experimental","soil core",FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,"Agricultural/livestock","no","none","k","pesticides, oribatida abdc","48d52m42sN","76d06m45sW",1,"7.5;7.6","Pesticides","herbicide","Glyphosate, Oxyfluorofen","Yes","glyphosate spot sprayed each year",0,"kg/ha","2.25","kg/ha","Acari,Oribatida","Micro-arthropods",14.6177685950413,5.85329822719017,12,6.30165289256198,6.34107307945606,12,"Abundance","individuals","CI95","F2","Woody",NA,NA,NA,NA,"Deciduous","Plantation",NA,NA,NA,"willow biomass plantation",NA,NA,NA,"no","4 years","probably at recommended rate","Herbicide","MultiSubstance","no","no","no","glyphosate; oxyfluorofen",NA,"Acari","Mesofauna","Abundance","at recommended rate","several years (1 < x =< 5 )","multiple","years",-1.31575197108251,0.202733401029323,5.85329822719017,6.34107307945606,-1.31575197108251,0.202733401029323
"24",24,68,162,"Minor_2004_Applied Soil Ecology","Minor","10.1016/j.apsoil.2003.10.002",TRUE,"Lea","Lea","Yes","yes-all drivers",NA,TRUE,TRUE,"100m-1km","USA","Cold and Warm","Experimental","soil core",FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,"Agricultural/livestock","no","none","j","pesticides, ganasida richness","48d52m42sN","76d06m45sW",1,"7.5;7.6","Pesticides","herbicide","Glyphosate, Oxyfluorofen","Yes","glyphosate spot sprayed each year",0,"kg/ha","2.25","kg/ha","Acari,Gamasida","Micro-arthropods",3.69604316546761,2.32120004037492,12,2.76079136690647,1.69843905393288,12,"SpeciesRichness","richness","CI95","F3","Woody",NA,NA,NA,NA,"Deciduous","Plantation",NA,NA,NA,"willow biomass plantation",NA,NA,"species","no","4 years","probably at recommended rate","Herbicide","MultiSubstance","no","no","no","glyphosate; oxyfluorofen",NA,"Acari","Mesofauna","Richness","at recommended rate","several years (1 < x =< 5 )","multiple","years",-0.443967232918711,0.170773060498031,2.32120004037492,1.69843905393288,-0.443967232918711,0.170773060498031
